Id no.,Type,Sentence,Bag_of_Words
1,Ambiguous,The payment should be made at the earliest.,"{'the': 2, 'payment': 1, 'should': 1, 'be': 1, 'made': 1, 'at': 1, 'earliest': 1}"
2,Ambiguous,You must respond within a reasonable time.,"{'you': 1, 'must': 1, 'respond': 1, 'within': 1, 'a': 1, 'reasonable': 1, 'time': 1}"
3,Ambiguous,The tenant must maintain the premises from time to time.,"{'the': 2, 'tenant': 1, 'must': 1, 'maintain': 1, 'premises': 1, 'from': 1, 'time': 2, 'to': 1}"
4,Ambiguous,The employee may be called upon to work extended hours whenever required.,"{'the': 1, 'employee': 1, 'may': 1, 'be': 1, 'called': 1, 'upon': 1, 'to': 1, 'work': 1, 'extended': 1, 'hours': 1, 'whenever': 1, 'required': 1}"
5,Ambiguous,The matter will be reviewed by the concerned authority.,"{'the': 2, 'matter': 1, 'will': 1, 'be': 1, 'reviewed': 1, 'by': 1, 'concerned': 1, 'authority': 1}"
6,Ambiguous,Action will be taken by the appropriate officer.,"{'action': 1, 'will': 1, 'be': 1, 'taken': 1, 'by': 1, 'the': 1, 'appropriate': 1, 'officer': 1}"
7,Ambiguous,The contractor shall provide adequate safety measures.,"{'the': 1, 'contractor': 1, 'shall': 1, 'provide': 1, 'adequate': 1, 'safety': 1, 'measures': 1}"
8,Ambiguous,You are expected to ensure proper compliance.,"{'you': 1, 'are': 1, 'expected': 1, 'to': 1, 'ensure': 1, 'proper': 1, 'compliance': 1}"
9,Ambiguous,The employee should maintain a satisfactory performance level.,"{'the': 1, 'employee': 1, 'should': 1, 'maintain': 1, 'a': 1, 'satisfactory': 1, 'performance': 1, 'level': 1}"
10,Ambiguous,The vendor must take necessary precautions.,"{'the': 1, 'vendor': 1, 'must': 1, 'take': 1, 'necessary': 1, 'precautions': 1}"
11,Ambiguous,The student may be allowed to appear for exams under special conditions.,"{'the': 1, 'student': 1, 'may': 1, 'be': 1, 'allowed': 1, 'to': 1, 'appear': 1, 'for': 1, 'exams': 1, 'under': 1, 'special': 1, 'conditions': 1}"
12,Ambiguous,The authority may impose penalties as it thinks fit.,"{'the': 1, 'authority': 1, 'may': 1, 'impose': 1, 'penalties': 1, 'as': 1, 'it': 1, 'thinks': 1, 'fit': 1}"
